keyword,occurence
segmentation,3
PET,1
Cryogenic,1
Kelvin,1
media,3
improvement,3
citizens,1
well-being,2
Instrumentations,1
measurements,7
intereferometry,1
filterless,1
Description,1
logics,2
query,3
languages,3
Chance,1
power-awareness,1
Optimal,3
space,3
Dynamic,7
blood,1
pressure,1
heart,2
rate,4
response,2
volume,1
variations,1
anesthesia,1
MRI-guidance,1
beam,2
radiotherapy,3
treatment,7
exposure,2
scenarios,3
methodologies,11
decision,4
making,3
discovery,3
User,4
interface,1
ambient,1
inhabitant,1
caregiver,1
Brain,2
conditions,5
recipes,1
photonic,3
multichannel,4
lasers,1
detectors,11
Distributional,1
Models,18
Emotions,1
Sentiment,1
Generation,1
Lexical,1
Resources,3
Opinion,1
Mining,7
Hybrid,3
Communication,6
WiNPLC,1
Frequency,4
synthesizers,4
PLLs,2
Advanced,17
driver,2
assistance,2
speed,5
safety,9
security,4
Interpretation,3
Object,4
Calculi,1
Data-driven,2
knowledge,6
regulomics,1
Streaming,1
Authentication,1
Combining,1
Signature,1
Amortization,1
Watermarking,1
Predicting,1
Privacy,4
Risk,2
Personal,4
Ultra,1
low-power,2
analog,4
SoCs,1
sensors,6
Modelling,4
Population,2
Dynamics,5
structures,7
Test,2
Effects,2
Single,5
Event,1
Upsets,1
Configuration,1
Memory,2
FPGAs,4
connectivity,5
zone,1
Abstractions,1
High-level,1
Parallel,9
Multi-cores,1
Novel,7
context-awareness,1
MM-wave,1
Embodiment,1
robotics,4
sensorimotor,2
loop,3
cognition,2
ASICs,4
Methods,9
Feature,1
Representation,4
Vehicle,3
estimation,7
RespirHó,1
Storage,3
WLHC,1
Grid,2
Reliability,2
generation,11
Transducers,1
air,1
teleoperation,2
force,2
feedback,2
wind,1
generator,1
squirrel,1
cage,1
induction,1
graphs,2
intelligence,4
maritime,1
remote,1
sensing,4
quality,4
cooperation,4
productivity,1
Cache,2
Wire-Delay,1
Dominated,1
CMP,1
timing,1
events,2
answering,1
streaming,1
forecasting,2
SPAD,3
IMAGERS,1
AND,3
SYSTEMS,2
FOR,1
IMAGING,1
RANGING,1
patterns,1
manycore,2
Impact,3
processes,2
elements,2
cancer,2
Spectrum,1
Shortage,1
Problem,2
Channel,1
Assignment,1
Cognitive,2
Networks,32
Combinatorial,2
Patterns,6
microgrids,2
provision,1
operation,3
role,3
hardware,8
crosspoint,1
modulators,1
FMCW,1
radars,1
Development,25
tools,8
valve,1
readout,8
electronics,18
buildings,7
Enhanced,2
network,13
era,2
Black,1
Box,1
Empowering,1
Machine,9
Explanations,1
Autonomic,1
regulation,2
sleep,1
cardiorespiratory,1
computation,3
representation,1
gyroscopes,4
NEMS,2
experiments,3
integrity,1
exoskeleton,1
workers,2
handling,2
investigation,4
effectiveness,2
treatments,1
association,1
platelet,1
activation,1
architecture,3
amplifier,1
resolution,4
structure,4
internet,2
information,11
technologies,14
disorders,3
caregivers,1
algoritms,1
conflict,1
Prevention,1
Efficiency,5
Effectiveness,2
Document,1
Understanding,1
Compression,2
Theory,6
Practice,2
diaphragm,1
IR,1
Boosting,1
Tools,4
Clustering,1
Ranking,1
multiprocessors,1
bike,1
human,1
integration,10
time,6
trading,2
resources,8
Accident,1
prevention,1
Aggregation,2
adaption,1
plants,1
Adaptivity,1
Mechanisms,4
Static,1
High,1
X,5
ray,3
spectroscopic,1
CDTE,1
low-noise,2
End,1
user,1
develompent,1
mashups,1
composition,1
mode,1
Distributed,5
policies,2
computing,12
Cryptographic,1
Protocol,2
veins,1
MRI,6
acquisitions,1
stencils,1
stigmergy,1
Accessibility,1
Collaboration,2
Support,2
Blind,1
People,1
humans,2
robots,7
perception,1
ground,1
backscattering,1
presence,1
vegetation,1
SAR,6
vibration,1
prognosis,1
machinery,1
components,4
maintenance,1
programs,1
simulation,2
synapses,2
monomodal,1
applicarions,1
System-on-Chip,1
submicron,1
employment,1
Near,1
Infrared,1
Spectroscopy,3
NIRS,1
Devices,5
clinics,1
research,3
Tracking,1
Composite,1
Events,1
Wireless,13
Sensor,6
Global,2
information-gathering,1
counting,6
Unconventional,1
Sequence,1
conduction,1
crystallization,1
statistics,2
Interference,1
mitigation,3
fronthauling,1
Microgrids,1
printing,1
area,1
Towards,4
programmability,1
crowd,1
solutions,12
detec-tors,1
XFEL,1
Variability,1
endurance,1
production,2
communities,1
Traffic,2
Point-to-Multipoint,1
UML,3
Library,1
Components,2
Scholarship,1
Verification,4
Infrastructure,2
s,1
multirotor,1
UAV,2
Analytics,5
Open,1
Source,1
Intelligence,5
activities,2
Metro,1
capacity,4
increase,1
comfort,1
cars,3
airways,1
Stability,4
plane,2
Avalanche,1
Diodes,1
InGaAs/InP,2
heterostructures,1
ICT,1
risk,3
component,1
study,7
Red,1
River,1
basin,2
Vietnam,1
compression,1
schemes,1
compiler,1
heuristics,1
Humans,1
crowdsourcing,1
Science,2
Repositories,2
Peer-to-Peer,1
Parametric,1
Extended,1
Audio,1
Reality,2
SP-EAR,1
frameworks,4
text,4
Deployment,1
Fog,1
Non-Uniformity,1
sensor-fusion,1
Bidirectional,1
limb,1
prosthesis,1
shared-control,1
adaptivity,1
efficient,1
HPC,2
Flow,2
Programs,2
Newton-Euler,1
manipulators,5
shape,2
suspension,3
ASIC,2
dynamic-range,1
radiation,6
monitor,1
description,1
policy,2
decisions,1
explanations,1
Abduction,1
Anonymity,1
neurosurgery,4
Context-Aware,1
Delivery,1
Opportunistic,1
vehicle,4
content,9
search,2
repositories,2
videogames,1
Process,4
FLOSS,1
Un,1
approccio,1
geometrico,1
l'analisi,1
e,4
campi,1
acustici,1
applicazioni,1
multimediali,1
synthesis,7
wave,2
anatomy,1
perspectives,1
neurorehabilitation,2
platform,2
biosensor,1
level,4
behavior,4
Children,1
Autism,1
implementing,1
Applied,1
Behavior,2
Intervention,1
Optimizations,1
Cost,1
saturation,1
transfer,2
Quality,3
provisioning,1
spreading,1
evolution,2
silicon,2
carbide,1
CAOS,1
CAD,1
Adaptive,5
Open-platform,1
benchmarking,1
New,5
Framework,5
Streams,2
QUALITATIVE,1
QUANTITATIVE,1
FORMAL,1
MODELING,1
OF,4
BIOLOGICAL,1
Space,2
Time-Efficient,1
Massive,1
Datasets,1
Sound,1
Field,1
Reconstruction,1
SENSE,1
Microelectronics,2
Modular,1
schema,1
warehousing,1
redundant,2
inference,3
changes,1
anomalies,3
Superdiversity,1
Big,6
analytics,2
crossroads,1
geography,1
language,3
emotions,1
analyses,1
channels,1
tracking,2
drift,4
Query,4
Log,2
Experience,2
Engines,1
WSN,2
power-performance,1
multi-application,1
Multichannel,1
broadband,2
integrating,1
macro,1
microscale,1
emergence,1
diversity,1
transistors,1
Queries,3
Index,1
cerebellar,1
embodiment,1
loops,1
bases,2
motor,4
equilibria,1
games,4
Computer,3
Robot,1
Assisted,1
Surgery,1
code,2
cross-platform,1
mobile,1
Angular,1
Momentum,1
Balancing,1
Shock-Proof,1
Legged,1
Robots,1
CAC,1
Algorithm,3
Providing,1
Delay,1
Guarantees,1
Aggregate,1
Scheduling,2
exoskeletons,2
Optimal/robust,1
railway,1
bifurcations,1
results,1
Botnet,1
imagine,1
electron,3
laser,5
facilities,1
Radio,1
planning,8
Integrated,1
Environment,2
Automated,1
Benchmarking,1
Validation,2
Voltage,1
Energy-,1
Constrained,1
Real-Time,1
Technologies,1
geometry,3
particles,1
Parallelism,2
Multi/Many-Cores,1
Transfer,3
function,3
lane,1
avoidance,1
Policies,1
Across,1
Abstraction,1
Layers,1
Scenes,1
de-noising,1
parcellation,1
comparison,1
novel,1
Variation,1
LEARNING,1
MODELS,1
TO,1
OPTIMIZE,1
THE,1
PLAYER,1
EXPERIENCE,1
IN,2
ROBOGAMES,1
m-Health,1
Detect,1
Predict,1
Risky,1
Adverse,1
Health,2
Conditions,1
Older,1
Adults,1
Performance,11
issues,7
NAND,2
cells,1
transition,1
planar,1
array,2
MANETs,2
Connectivity,1
Transport,1
Protocols,2
ITS,1
algoriyhms,1
traffic,3
Improving,1
Stochastic,1
Biology,1
expressiveness,1
event,1
Incentive,1
revenue,1
federation,1
behaviour,3
Capturing,1
Human,3
Self-Awareness,1
Individual,1
Collective,1
Decorrelation,1
phenomena,2
Geosynchronous,1
Synthetic,1
Aperture,1
Radar,1
Compiler,3
hardening,1
knee,1
Hugenomic,1
domain,3
high-bit,1
backplane,1
interconnection,1
photovoltaic,1
consumption,2
Reconfigurability,1
Networked,2
Embedded,1
Studies,2
GPUs,1
Lattice,1
QCD,1
Fluid,1
Reservoir,2
Class,1
Recurrent,2
Neural,4
LEO,1
Satellite,1
Constellations,1
Backbone,1
navigation,1
case,4
delivery,3
approximate,1
Emergence,1
Diversity,1
Recommender,2
Robustness,1
Stateful,1
abstractions,1
Mesh,3
photonics,2
Li-ion,1
batteries,1
demonstration,1
view,1
TCAD,2
business,1
process,1
Exploiting,1
reinforcement,4
ion,1
Visualization,3
Semantic,2
Granger,1
causality,1
Exploration,1
mapping,1
engineering,7
agents,4
persons,1
ECG,1
recordings,1
Atrial,1
Fibrillation,1
OPTIMIZATION,1
PRODUCTION,1
LINES,1
USING,1
ADVANCED,1
CNC,1
INTERPOLATION,1
METHODS,1
DISTRIBUTION,1
CONTROL,1
LOGIC,1
Brillouin,1
correlation,3
strain,1
temperature,1
semiconductors,1
superconductors,1
Fault,1
Tolerance,1
High-Performance,1
Using,2
Structured,7
Decomposition,3
Large-Scale,2
Problems,1
single-photon,2
frame,1
ranging,4
Advances,2
Physiology,1
maternal,1
profiling,1
Allocation,2
QoS,2
Broadband,2
iot,1
Localization,3
IMUs,1
cell,1
Nanopower,1
transponders,1
UHF,1
proton,2
Particole,1
Swarm,1
simplification,1
influencers,1
influence,2
hemodialysis,1
prediction,3
steps,1
pipeline,1
Conservation,1
similarity,1
trajectory,2
graph,3
Vision,1
touchless,1
Heterogeneous,2
collection,2
Wellness,1
depolarization,1
Earth-space,1
links,3
Geographical,1
Topological,1
Routing,2
contributions,1
Programming,5
Coherence,1
Multicore,2
Placement,1
grid,1
converters,2
SuNDroPS,1
involvement,1
Tid,1
Mekii,1
malaria,2
interferometer,1
mechanics,2
Economic,3
perspective,4
Movement,1
Disorders,1
Multiresolution,1
Urban,1
Terrains,1
online,1
cities,1
indicators,1
land,2
EEG/ERP,1
sensory,1
functors,1
coalgebras,1
sets,1
recommender,2
cell-tracking,1
problem,1
Safety,2
Non-Stationarity,1
Assumptions,1
driven,2
forensics,2
eHealth,1
age,1
decline,1
Low-Power,1
Front-End,2
High-Resolution,1
X-ray,3
Imaging,1
Drift,1
Detectors,1
heat,1
pump,1
storage,2
propulsion,1
privacy,1
contents,1
Decentralized,1
utilization,1
Evolutionary,2
Mamdani,1
Fuzzy,1
rank/select,1
succinctness,1
bounds,1
Force-feedback,1
Methodology,1
Computations,1
aspects,3
multi-cores,1
Forensics,1
counter-forensics,1
device,2
identification,6
guidance,1
MDCT,1
tachycardia,1
ablation,1
procedures,1
multi/many-core,1
metro-area,1
editing,1
Complexity,1
Real,1
Velocity,1
wavelength,2
drive,1
motorcycles,1
diffusion,1
Resonance,2
damage,3
matter,3
diseases,2
Networking,3
Diffusion,2
work,1
orchestrations,1
places,1
wisdom-of-the-crowd,1
processors,1
correlators,1
fluorescence,1
collaboration,4
Industry,1
synchronization,2
dense,1
kit,1
Automatic,2
Reformulation,1
Solution,1
Mathematical,1
Cyber,1
Threat,1
Multi-user,1
Context,4
personalization,1
Monitoring,4
mood,1
Specification,2
Implementation,3
Anomaly,1
Personalized,1
Feedback,1
cost,1
Fixed,1
Convergent,1
traders,1
machines,1
acceptance,1
wild,1
signal,2
music,4
retrieval,5
avalanche,3
diode,3
arrays,4
high-performance,4
functions,1
metro,1
Ergonomics,2
attachments,1
Crowdsourcing,1
SiPMs,1
scintillators,1
position,2
sensitivity,3
conservation,1
task,1
assignment,1
Calculus,1
Categorical,1
Evaluation,6
LTE,3
experimental,1
drug,1
Operator,1
precedence,2
Perspectives,1
spad,1
modelling,3
violin,1
timbre,1
Aware,1
Sense,1
Entity,2
Linking,1
Simulations,1
pathologies,3
limits,2
compound,1
helicopter,1
Head-Related,1
Function,2
Personalization,1
Nowcasting,1
Forecasting,1
Phenomena,1
repolarization,1
instability,1
stratification,1
Uses,1
calibrators,1
Provisioning,1
Clouds,1
Users,1
WM,1
GM,1
video,2
sequences,1
interference,1
RAN,1
slicing,2
transport,1
strings,2
Life,1
Sciences,1
Molecular,1
Pattern,4
Semantically-Enriched,1
Trajectory,1
multiple,1
followers,1
leaders,1
perfection,1
synthesizer,4
bang,2
IEEE,3
MAC,1
database,1
queries,1
Low-power,1
high-resolution,1
Gamma,1
semiconductor,2
CASCADE,1
sediment,1
hydropower,1
portfolios,1
Cardiac,1
Magnetic,1
Left,1
Ventricle,1
Transesophageal,1
Echocardiography,1
descending,1
Aorta,1
Picosecond,1
fledged,1
answer,1
Pervasive,2
gesture,2
effect,1
body,2
posture,1
load,1
validation,2
eye,1
melanomas,1
Wiener,1
LiqDroid,1
android,1
actuation,1
Content,1
asic,1
Sequence-Aware,1
fast,1
hybrid,1
bicycle,1
living,1
contrast,1
thoracic,1
aorta,1
slam,1
adjustment,1
Trace,1
intensity,1
drivers,1
Time-of-Flight,1
Pico-Projectors,1
Offloading,1
Programmable,1
Planes,1
Gibbs,1
sampling,1
GeoSTARe,1
terrain,1
observation,1
revisit,1
availability,1
virtualization,1
LTE-Advanced,1
Domains,2
cycle,1
Autonomous,1
traceroute,1
Genomic,1
chromatin,1
optimizations,1
cache,2
Binary,2
Features,1
Supermetric,1
hand,1
path,2
needle,1
grids,2
Augmented,1
entertainment,1
Evaluating,1
Coverage,1
Criteria,1
Testing,1
Scope,1
gamma,1
camera,3
physics,1
Geographic,1
Perspective,1
BGP,1
Raw,1
Interface,2
libraries,1
studies,5
throughput,2
microelectrode,1
medicine,2
low-jitter,1
occupation,1
Time-frequency,1
signals,2
scene,3
Memorization,1
Decision,2
StereoElectroEncephaloGraphy,1
tumor,1
actuators,1
Reverse,1
di,1
contenuti,1
analisi,2
forensi,1
complexity,3
User-Centric,1
Ecosystems,1
contexts,2
tool,2
Inertial,1
measurement,2
enhancing,1
Force,1
display,1
needles,1
macro-descriptors,1
trade-offs,1
interpretation,1
Cyclic,1
Alternating,1
Sleep,1
scintillation,1
infrastructure,3
advertising,2
Sensor/Actuator,1
Smart,2
ASD,1
real-life,1
Multirobot,1
Managing,1
Power,2
Consumption,1
Surface,1
Appearance,1
Estimation,1
Sequences,1
TheatreBot,1
emotion,3
projection,1
enrichment,1
robot,4
cases,1
API,1
examples,1
detectivity,1
photoconduction,1
photodetectors,1
scenario,1
focus,1
factor,1
consumers,1
aircraft,1
constraints,1
REST,1
Federated,1
Research,2
Virtual,1
Propagation,1
Artificial,1
Narrative,1
Survivability,1
Centralized,1
usability,1
ergonomics,2
interfaces,2
campaigns,1
CIFF,1
Proof,1
Procedure,1
Abductive,1
Constraints,2
Definition,1
Application,2
Advance,1
ANALISI,1
DI,3
IMMAGINI,1
MEDIANTE,1
LA,1
COMBINAZIONE,1
METODI,1
PATTERN-RECOGNITION,1
E,1
SUPER-RISOLUZIONE,1
Consensus,1
solution,3
heterogeneity,1
recommendation,1
metering,1
ice,1
Polyhedra,1
ride,1
ride-by-wire,1
biosamples,1
Digital,1
Fabrication,2
Mitigation,1
Incident,1
Critical,1
protection,1
inverse,1
high-efficiency,1
Set,1
Membership,1
filtering,1
Strumenti,1
ottimizzazione,1
delle,1
prestazioni,1
dei,2
protocolli,1
comunicazione,1
sistemi,1
purpose,1
Building,1
Migration,1
Task,1
continuity,1
Platform,1
Adaptation,1
alarm,1
DNA,1
principles,1
microscopic,1
atlas,1
tractography,1
Fatigue,1
Nitinol,1
Interactions,2
TMEK,1
lab,1
capture,1
fingerprints,1
family,2
relaxation,1
interconnects,1
switch,1
spin-transfer,1
torque,1
STT,1
Replica,1
Consistency,1
Grids,1
slip,1
High-speed,1
Photon,2
Abilities,1
release,1
potentiation,1
autism,1
modulator,1
centric,1
Tourists,1
Prediction,2
Integrity,1
Self,1
SiPM,1
SPECT,1
Synthesis,2
filters,1
multiplexers,1
Cyber-Physical,1
forest,1
P-band,1
Discrepancy,1
bug,1
designs,1
integrate,1
repeat,1
sound,1
building,1
baroreflexes,1
Conflict,1
hedging,1
Link,1
BOLD,1
fMRI,1
semantics,1
work-flows,1
silhouettes,1
background,1
TeleFetal,1
Care,1
pregnancy,1
selector,1
Reevaluation,1
planes,1
designing,1
engines,1
experiences,1
high-density,1
Hierarchical,1
MPC,1
Single-photon,1
screens,1
C-band,1
GNSS,1
calibration,2
Tensor,1
migration,1
NoSQL,1
databases,1
signatures,1
shock,2
protocols,3
IP,1
coherent,1
raman,1
examinations,1
court,1
law,1
DIKE,1
High-accuracy,1
micromirrors,1
Properties,1
AVL,1
Trees,1
Risk-aware,1
Vulnerability,1
xountermeasures,1
automation,1
opportunities,1
awareness,1
attacks,1
impacts,1
defenses,1
Addressing,1
Continuum,1
reproducibility,1
Enhancements,1
selection,1
edema,1
city,1
transportation,1
DSSC,1
High-efficiency,1
inductorless,1
rehabilitation,1
Remote,1
flight,1
distance,1
technique,1
wire,2
delay,1
recurrent,1
variety,1
Leakage,1
reduction,1
alternatives,1
caches,1
separation,1
Alzheimer,1
disease,1
tasks,1
Elaborazione,1
plenacustica,1
nello,1
spazio,1
raggi,1
modellazione,1
acustiche,1
gDup,1
deduplication,1
ELIoT,1
populations,1
Sudden,1
Infant,1
Death,1
Syndrome,1
polysilicon,1
clock,1
jitter,1
compensation,1
VERIFICATION,1
ROBUSTNESS,1
PROPERTY,1
CHEMICAL,1
REACTION,1
NETWORKS,1
series,4
Electric,1
Vehicles,1
upgrade,1
FARCOS,1
frontend,1
XQuake,1
relation,1
Radiation,1
Detector,1
Beta-decay,1
Neutrino,1
Physics,1
input,1
inputs,1
paths,1
abstraction,1
Organic,1
logic,2
Exploring,1
baseband,1
placement,1
stress,1
program,1
arm,2
Manufacturing,1
Perception,1
mechanism,2
controller,1
DCDC,1
boost,1
converter,1
right-half-plane,1
Maximum,1
Accuracy,1
Use,1
gap,1
persuasion,1
Blockchain,1
Bitcoin,1
Beyond,2
question,1
difficulty,1
Android,1
data-centers,1
television,1
Similarity,1
Metric,1
Spaces,1
Product,1
A,1
responses,1
Human-Product,1
Interaction,2
Coordination,1
Optical,1
transmitter,1
WDM,1
micro,1
bone,1
organotypic,1
breast,1
metastases,1
falls,1
gait,1
Hardware/software,1
co-design,1
AS-level,1
topology,1
Down,2
syndrome,2
nanosamples,1
Infrastructures,1
Heritage,1
realism,1
module,1
SPECT/MR,1
Mediterranean,1
islands,1
Thermal,1
multi-core,1
Transformations,1
Object-Oriented,3
emulators,1
brake,1
actuator,1
motorbikes,1
train,1
Actor,1
multi-/many-core,1
deployment,1
attenuation,2
FSO,1
link,1
multiscale,1
QT,1
type,1
Safer-HRC,1
Approaches,1
impairments,2
IoT,3
Blockchains,1
health,1
geomatics,1
emergency,1
secure,1
Compilation,1
Way,1
Harvested,1
Trade-offs,1
Modern,1
guarantees,1
movement,1
fluidity,1
parkour,1
Behaviour,1
Intelligent,1
PERforMANce,1
ExperieNCEs,1
IMPERMANENCE,1
features,1
attribution,1
crossroad,1
Experimentation,1
Magnetostrictive,1
Sensors,1
Inspection,1
Metodi,1
algoritmi,1
visuale,1
distribuita,1
su,1
basso,1
impatto,1
energetico,1
VLSI,1
microarchitectures,1
Structure,1
altitude,1
alpine,1
fauna,1
Spatiality,1
preterm,1
High-performance,1
Correlated,1
Nested,1
Publishing,1
Web3D,1
World,1
horizons,1
Enumeration,1
Real-World,1
Enterprise,1
Central,1
Nervous,1
resuscitation,1
Device,1
Interoperability,1
river,1
Hypothesis,1
Classifier,1
patch,1
antennas,1
Analysing,1
Multitasking,1
EEG,1
definition,1
precision,1
tuning,1
hemodynamics,1
palliations,1
ventricle,1
cross-samples,1
inferences,1
NLP,1
Patent,1
Alphasat,1
experiment,1
Context-aware,1
millimeter,1
Narrow,1
track,1
base,1
stations,1
variability,1
flash,1
world,1
cryptography,1
privacy-preserving,1
parsing,1
certificates,1
operator,1
sense,1
Stream,1
Requirements,1
R2P,1
prototyping,1
modules,1
tumors,1
workflow,1
Updates,1
Centric,1
multidomain,1
adults,1
Mild,1
Impairment,1
Gene,1
Functions,1
Multiple,1
Procedures,1
Cancer,1
Drug,1
Resistance,1
Modulated,1
Gyroscope,1
dialogues,1
prototypes,1
Publication,1
Blood,1
shifts,1
thorax,1
extremities,1
vertebrates,1
Rendering,1
Scattering,1
Refraction,1
Games,1
Purpose,1
Gamified,1
Loops,1
Database,4
Languages,2
product,2
line,1
consumer,1
innovation,1
RCE,1
OCL,1
compositionakity,1
Firefighting,1
Frontline,1
Ubiquitous,1
skeleton,1
point,1
clouds,1
refinement,1
Team,1
Automata,1
Between,2
Compositional,1
Foundations,1
Deductive,3
Request-Prediction,1
Hyperlink-Proposals,1
Hardness,1
Approximation,1
P,1
NP,1
Unternehmen,1
Entwicklung,2
Einsatz,1
Java-basierten,1
Online-Redaktionssystems,1
Sequential,1
Documents,1
SML,1
Formalization,1
Realization,1
Persistence,1
ORB/ODBMS,1
Trie,1
Spatial,1
Secondary,1
Ordinals,1
Ordered,1
Diagrams,1
Integrating,1
Parity,1
Nodes,1
Knowledge-Base,1
SELF,1
Optimizing,1
Compilet,1
Relational,1
Transformationen,1
zur,2
Erklärung,1
Programmverhaltens,1
bei,1
Datenbanken,1
Prolog,1
Execute,1
Imperative,1
von,1
Algorithmen,1
Programmen,1
Archivierungs-,1
und,1
Kommunikationssystem,1
Verwaltung,1
Bilder,1
